Name,2014,2015,2016,2017,2018
Entercom,0,0,0,10,10
CBS Corp.,10,10,10,0,0
Hubbard Broadcasting Inc.,3,3,3,3,3
Sinclair Broadcast Group Inc.,2,2,2,2,2
Davis Media LLC,0,0,0,0,2
Cox Media Group,2,2,2,2,1
Cumulus Media Inc.,2,2,2,1,1
CC Media Holdings Inc.,0,1,1,1,1
Jet Broadcasting Inc.,0,0,1,1,1
MultiCultural Radio Broadcasting Inc.,0,0,0,1,1
Storm Front Communications LLC,0,0,0,1,1
Kensington Digital Media LLC,0,0,0,0,1
Bryan Steele,0,0,0,0,1
Neal Ardman,2,2,2,2,0
Paskvan Media Inc.,1,1,1,1,0
Talking Stick Communications LLC,1,1,1,1,0
